Date,Close
6/13/2019 16:00:00,23.24
6/14/2019 16:00:00,23.33
6/17/2019 16:00:00,23.46
6/18/2019 16:00:00,23.67
6/19/2019 16:00:00,24
6/20/2019 16:00:00,25.05
6/21/2019 16:00:00,25.21
6/24/2019 16:00:00,26.17
6/25/2019 16:00:00,25.63
6/26/2019 16:00:00,25.52
6/27/2019 16:00:00,25.33
6/28/2019 16:00:00,25.56
7/1/2019 16:00:00,24.58
7/2/2019 16:00:00,25.55
7/3/2019 13:00:00,25.65
7/5/2019 16:00:00,25.39
7/8/2019 16:00:00,25.42
7/9/2019 16:00:00,25.65
7/10/2019 16:00:00,26.2
7/11/2019 16:00:00,25.94
7/12/2019 16:00:00,26.21
7/15/2019 16:00:00,26.18
7/16/2019 16:00:00,26.05
7/17/2019 16:00:00,27.09
7/18/2019 16:00:00,28.25
7/19/2019 16:00:00,27.98
7/22/2019 16:00:00,28.19
7/23/2019 16:00:00,27.87
7/24/2019 16:00:00,28.15
7/25/2019 16:00:00,27.43
7/26/2019 16:00:00,27.28
7/29/2019 16:00:00,27.77
7/30/2019 16:00:00,27.83
7/31/2019 16:00:00,26.5
8/1/2019 16:00:00,27.85
8/2/2019 16:00:00,27.77
8/5/2019 16:00:00,28.6
8/6/2019 16:00:00,28.67
8/7/2019 16:00:00,29.26
8/8/2019 16:00:00,29.77
8/9/2019 16:00:00,29.36
8/12/2019 16:00:00,29
8/13/2019 16:00:00,28.45
8/14/2019 16:00:00,28.41
8/15/2019 16:00:00,28.73
8/16/2019 16:00:00,28.28
8/19/2019 16:00:00,27.93
8/20/2019 16:00:00,28.85
8/21/2019 16:00:00,28.7
8/22/2019 16:00:00,28.49
8/23/2019 16:00:00,29.64
8/26/2019 16:00:00,29.64
8/27/2019 16:00:00,30.56
8/28/2019 16:00:00,30.41
8/29/2019 16:00:00,29.66
8/30/2019 16:00:00,29.86
9/3/2019 16:00:00,30.37
9/4/2019 16:00:00,30.95
9/5/2019 16:00:00,29.31
9/6/2019 16:00:00,28.48
9/9/2019 16:00:00,27.73
9/10/2019 16:00:00,27.51
9/11/2019 16:00:00,27.72
9/12/2019 16:00:00,27.27
9/13/2019 16:00:00,26.64
9/16/2019 16:00:00,27.29
9/17/2019 16:00:00,28.12
9/18/2019 16:00:00,27.62
9/19/2019 16:00:00,28.1
9/20/2019 16:00:00,28.69
9/23/2019 16:00:00,29.16
9/24/2019 16:00:00,29.49
9/25/2019 16:00:00,28.43
9/26/2019 16:00:00,28.11
9/27/2019 16:00:00,27.45
9/30/2019 16:00:00,26.71
10/1/2019 16:00:00,26.92
10/2/2019 16:00:00,27.41
10/3/2019 16:00:00,27.25
10/4/2019 16:00:00,27.87
10/7/2019 16:00:00,27.58
10/8/2019 16:00:00,28.36
10/9/2019 16:00:00,28.05
10/10/2019 16:00:00,28.05
10/11/2019 16:00:00,26.97
10/14/2019 16:00:00,27.07
10/15/2019 16:00:00,26.19
10/16/2019 16:00:00,26.71
10/17/2019 16:00:00,27.08
10/18/2019 16:00:00,27.12
10/21/2019 16:00:00,26.58
10/22/2019 16:00:00,26.54
10/23/2019 16:00:00,26.81
10/24/2019 16:00:00,27.52
10/25/2019 16:00:00,27.74
10/28/2019 16:00:00,27.06
10/29/2019 16:00:00,27.21
10/30/2019 16:00:00,27.45
10/31/2019 16:00:00,28.15
11/1/2019 16:00:00,28.01
11/4/2019 16:00:00,27.52
11/5/2019 16:00:00,26.97
11/6/2019 16:00:00,27.3
11/7/2019 16:00:00,26.49
11/8/2019 16:00:00,26.23
11/11/2019 16:00:00,26.24
11/12/2019 16:00:00,26.59
11/13/2019 16:00:00,26.75
11/14/2019 16:00:00,27
11/15/2019 16:00:00,26.74
11/18/2019 16:00:00,27.2
11/19/2019 16:00:00,27.23
11/20/2019 16:00:00,27.34
11/21/2019 16:00:00,26.82
11/22/2019 16:00:00,26.76
11/25/2019 16:00:00,26.2
11/26/2019 16:00:00,26.78
11/27/2019 16:00:00,26.66
11/29/2019 13:00:00,27.08
12/2/2019 16:00:00,27.17
12/3/2019 16:00:00,27.77
12/4/2019 16:00:00,27.48
12/5/2019 16:00:00,27.62
12/6/2019 16:00:00,26.97
12/9/2019 16:00:00,26.92
12/10/2019 16:00:00,27.13
12/11/2019 16:00:00,27.71
12/12/2019 16:00:00,27.66
12/13/2019 16:00:00,27.72
12/16/2019 16:00:00,27.39
12/17/2019 16:00:00,27.16
12/18/2019 16:00:00,27.45
12/19/2019 16:00:00,27.48
12/20/2019 16:00:00,27.13
12/23/2019 16:00:00,27.77
12/24/2019 13:00:00,28.66
12/26/2019 16:00:00,29.08
12/27/2019 16:00:00,28.87
12/30/2019 16:00:00,29.49
12/31/2019 16:00:00,29.28
1/2/2020 16:00:00,29.35
1/3/2020 16:00:00,29.17
1/6/2020 16:00:00,29.22
1/7/2020 16:00:00,29.5
1/8/2020 16:00:00,28.35
1/9/2020 16:00:00,28.04
1/10/2020 16:00:00,28.45
1/13/2020 16:00:00,27.77
1/14/2020 16:00:00,28.26
1/15/2020 16:00:00,28.79
1/16/2020 16:00:00,28.67
1/17/2020 16:00:00,28.42
1/21/2020 16:00:00,28.95
1/22/2020 16:00:00,28.84
1/23/2020 16:00:00,28.66
1/24/2020 16:00:00,29.22
1/27/2020 16:00:00,29.08
1/28/2020 16:00:00,28.31
1/29/2020 16:00:00,28.86
1/30/2020 16:00:00,28.73
1/31/2020 16:00:00,28.99
2/3/2020 16:00:00,28.56
2/4/2020 16:00:00,28.05
2/5/2020 16:00:00,28.05
2/6/2020 16:00:00,28.4
2/7/2020 16:00:00,27.93
2/10/2020 16:00:00,28.39
2/11/2020 16:00:00,28.43
2/12/2020 16:00:00,28.12
2/13/2020 16:00:00,28.32
2/14/2020 16:00:00,28.31
2/18/2020 16:00:00,29.23
2/19/2020 16:00:00,29.75
2/20/2020 16:00:00,29.75
2/21/2020 16:00:00,30.65
2/24/2020 16:00:00,31.05
2/25/2020 16:00:00,29.97
2/26/2020 16:00:00,29.87
2/27/2020 16:00:00,28.15
2/28/2020 16:00:00,26.22
3/2/2020 16:00:00,27.29
3/3/2020 16:00:00,28.68
3/4/2020 16:00:00,29.13
3/5/2020 16:00:00,29.82
3/6/2020 16:00:00,29.41
3/9/2020 16:00:00,27.31
3/10/2020 16:00:00,27.49
3/11/2020 16:00:00,25.17
3/12/2020 16:00:00,22.31
3/13/2020 16:00:00,19
3/16/2020 16:00:00,22.49
3/17/2020 16:00:00,25.5
